aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
2,119,1408517338,9.404,1770.552,5.040,24.888,187.635,2320,0.095,10.436,5.881,9.008,5.299,23.458,113.453,3114.950,0.108
2,120,1408523683,9.674,1793.948,5.023,24.879,215.576,2350,0.095,6.470,5.456,6.690,2.002,39.499,63.461,2080.710,-0.361
2,121,1408529348,10.383,1832.884,5.052,24.895,241.220,2400,0.095,11.677,3.113,2.497,1.060,99.791,658.547,4554.560,-1.268
2,202,1408507378,10.693,2581.837,5.034,24.939,241.083,3360,0.095,13.107,3.650,4.616,2.738,71.788,405.858,7446.973,-1.973
2,203,1408509778,10.817,-2588.364,5.101,24.950,215.531,3340,0.095,20.796,3.502,4.538,2.169,71.714,719.768,12365.016,-2.210
2,205,1408503888,11.374,-2518.552,5.020,24.940,186.644,3280,0.095,13.719,3.328,4.951,3.997,78.528,393.783,7111.994,-2.690
2,207,1408552763,10.827,2509.423,5.009,24.908,192.000,3270,0.095,15.776,3.463,4.554,2.963,79.704,546.976,8012.660,-2.564
2,208,1408515153,9.930,-2724.095,5.092,24.958,244.057,3490,0.095,14.687,3.808,5.834,2.076,68.200,469.207,10174.118,-2.158
2,212,1408575828,10.179,-1057.184,5.066,7.297,249.000,380,0.095,15.893,1.609,0.000,0.000,31.422,254.429,752.862,-2.647
2,213,1408537118,12.087,2534.295,5.057,24.892,246.350,3300,0.095,7.727,2.610,2.832,1.286,59.249,382.453,4460.107,-1.380
2,215,1408529823,10.840,2469.071,5.006,24.900,217.293,3230,0.095,22.829,3.873,5.844,2.794,71.079,799.689,12078.370,-1.510
2,218,1408558198,10.295,-1441.573,5.017,15.608,245.354,1460,0.095,17.034,3.703,4.662,2.688,40.542,267.816,3151.405,0.329
2,219,1408566148,9.374,2571.816,5.013,24.902,246.466,3360,0.095,12.149,5.846,7.041,3.631,40.622,231.171,6598.309,-0.515
2,221,1408545378,12.219,-2062.736,5.068,18.022,247.341,2280,0.095,10.547,2.274,2.612,1.378,52.184,384.364,3852.945,-2.547
2,224,1408494028,11.281,2961.409,10.155,24.919,184.000,2420,0.095,4.820,1.551,1.330,1.031,84.395,182.511,2541.520,-1.422
2,225,1408500278,11.627,2529.380,5.007,24.939,212.921,3300,0.095,12.841,3.183,4.429,3.166,71.589,529.452,7226.208,-2.223
