aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
0,3,1408409523,12.110,-2208.615,5.111,24.974,221.276,2850,0.185,20.653,3.244,3.453,1.986,97.229,1312.318,8079.660,-2.615
0,4,1408417448,11.395,-2124.403,5.077,24.949,187.765,2760,0.185,20.670,3.521,3.632,2.513,88.966,772.069,8344.702,-2.214
0,5,1408452538,12.455,2072.210,5.045,24.870,198.642,2700,0.185,17.846,2.197,1.881,1.234,125.255,2044.627,11429.564,-3.024
0,6,1408438838,10.289,2064.416,5.070,24.873,197.970,2680,0.185,25.606,3.188,3.262,1.301,110.369,1410.928,12727.674,-2.222
0,9,1408420598,10.531,-2197.445,5.075,24.947,207.330,2840,0.185,24.321,3.397,3.547,1.110,102.863,1234.615,11502.862,-3.360
0,11,1408443688,11.243,2113.699,5.059,24.976,216.000,2760,0.185,26.066,2.986,3.390,1.643,115.299,1523.304,12470.321,-2.895
0,12,1408451777,12.436,-2223.353,5.021,24.986,213.281,2890,0.185,18.575,2.758,2.864,1.298,115.170,1555.292,8319.455,-2.717
0,15,1408460348,11.809,1087.262,5.001,9.984,181.000,720,0.185,46.789,1.861,1.771,1.675,108.869,2265.158,4201.537,2.932
0,16,1408408384,12.203,2070.167,5.055,24.860,185.223,2690,0.185,16.720,2.706,2.243,1.443,88.518,762.503,6322.774,-2.291
0,17,1408430208,9.131,2103.464,5.056,24.910,219.000,2740,0.185,31.284,4.304,4.725,1.978,113.149,1501.539,14433.861,-1.998
0,19,1408433451,9.404,2146.542,5.042,24.855,229.886,2800,0.185,51.360,6.228,7.602,3.931,125.403,2570.453,21018.524,0.623
0,20,1408448823,12.325,2144.816,5.062,24.908,189.643,2790,0.185,21.691,2.586,2.394,1.719,105.097,1142.109,8614.551,-3.303
0,21,1408485043,10.010,-2075.388,5.042,20.330,245.963,2450,0.185,54.606,4.799,6.409,2.291,124.107,2902.367,19757.785,-3.860
0,23,1408463428,11.269,2128.938,5.026,24.879,242.398,2780,0.185,34.769,3.417,4.005,2.817,114.111,2444.538,13091.963,-4.975
0,24,1408443363,10.556,-1196.963,5.070,9.917,248.526,770,0.185,59.673,2.494,3.934,3.934,125.777,2318.196,6072.539,2.771
0,25,1408454464,12.457,-2378.962,5.052,24.975,234.448,3060,0.185,19.590,2.826,2.893,1.649,100.622,1121.325,9467.188,-2.966
0,28,1408481218,9.949,2110.529,5.017,24.962,197.206,2760,0.185,44.039,4.901,11.820,4.203,124.981,2204.922,18979.412,-1.588
0,29,1408462883,11.659,-2138.263,5.105,24.993,196.306,2770,0.185,26.364,2.890,3.660,1.788,114.087,1382.612,11694.079,-4.115
0,30,1408431918,9.192,-2182.820,5.041,24.953,191.470,2840,0.185,36.864,5.848,6.158,2.975,107.211,1308.545,15559.828,-1.375
0,31,1408485248,10.459,2071.238,5.025,24.852,210.907,2700,0.185,31.078,3.615,4.451,1.868,126.493,1987.950,13588.491,-2.666
0,32,1408473877,9.382,2140.228,5.010,24.916,225.436,2800,0.185,43.572,4.160,4.296,1.990,147.511,3824.249,21294.322,-0.112
0,101,1408472543,9.411,1841.085,5.048,24.920,245.835,2410,0.185,10.548,4.257,4.209,2.215,78.831,272.077,3647.042,-0.188
0,102,1408411893,9.674,-1780.906,5.143,24.944,183.000,2310,0.185,9.055,2.087,1.733,1.013,81.282,456.564,3838.193,-0.964
0,103,1408416723,11.366,-1798.258,5.145,24.969,206.987,2330,0.185,9.034,2.344,1.909,1.129,113.965,693.435,3541.551,-0.623
0,104,1408421188,10.635,-1836.757,5.116,24.948,228.389,2380,0.185,13.802,2.594,2.233,1.280,119.071,722.123,5224.914,-1.433
0,105,1408426243,10.232,-1094.349,5.028,12.545,248.426,930,0.185,12.275,2.205,1.959,1.218,106.948,438.850,1481.392,2.568
0,107,1408461428,11.487,1785.493,5.022,24.839,197.149,2340,0.185,10.334,2.354,1.898,1.236,119.727,637.245,4483.278,-1.415
0,108,1408466418,10.521,1821.705,5.074,24.953,218.774,2380,0.185,13.382,4.112,4.446,2.772,70.011,323.101,3913.689,-0.849
0,109,1408445143,10.944,-1829.596,5.128,24.959,208.508,2370,0.185,13.857,3.437,3.091,1.831,120.475,611.614,4540.446,-1.506
0,110,1408449125,12.256,-1859.139,5.128,24.991,226.804,2410,0.185,4.522,2.546,1.991,1.316,42.830,123.151,1687.218,-0.256
0,111,1408454518,9.038,-1140.540,5.058,13.056,248.505,1000,0.185,11.682,1.726,1.593,1.024,102.258,683.472,1973.267,-4.189
0,113,1408408143,11.954,1816.871,5.056,24.905,216.114,2370,0.185,3.286,1.617,1.309,1.018,58.957,155.753,2087.583,-0.379
0,113,1408488968,11.114,1787.600,5.029,24.856,192.770,2340,0.185,4.418,2.876,3.006,1.175,52.402,104.164,1712.189,-0.428
0,114,1408414383,9.429,1844.214,5.074,24.888,241.814,2410,0.185,8.450,2.376,1.945,1.181,83.895,519.231,3976.357,-1.451
0,116,1408440153,9.846,-1781.629,5.051,24.936,182.825,2330,0.185,9.261,3.028,3.260,2.064,85.555,386.578,3737.669,-0.902
0,118,1408432068,9.434,1771.404,5.029,24.888,193.498,2320,0.185,10.777,3.947,3.150,1.020,90.221,423.001,4098.908,-0.581
0,119,1408436458,9.722,1792.527,5.076,24.890,211.064,2340,0.185,4.823,3.357,2.864,1.129,34.201,56.149,1878.758,-0.027
0,120,1408443058,11.047,1818.418,5.048,24.878,238.820,2380,0.185,3.803,2.214,1.966,1.387,39.450,80.499,1705.416,-0.383
0,122,1408468373,9.069,-2602.517,18.242,24.949,181.000,770,0.185,4.790,1.627,1.071,1.013,85.725,238.038,611.570,0.008
0,122,1408469698,10.169,-1242.374,5.130,15.496,181.000,1240,0.185,13.270,2.877,2.840,1.744,72.832,317.384,2129.126,-1.670
0,123,1408473748,9.524,-1776.262,5.154,24.948,202.922,2300,0.185,12.818,2.869,2.507,1.029,98.603,594.467,5433.044,0.242
0,204,1408470893,9.561,2525.906,5.030,24.919,210.333,3290,0.185,28.086,4.854,6.758,3.071,84.823,889.130,16026.752,-1.312
0,206,1408474423,9.344,2561.408,5.054,24.898,224.398,3330,0.185,34.857,4.992,6.175,3.430,96.587,1592.831,20108.250,-0.194
0,207,1408421253,10.867,-2551.870,5.087,24.942,203.630,3310,0.185,18.643,2.976,2.783,1.176,94.094,905.009,12145.948,-3.379
0,209,1408477683,9.462,2556.339,5.048,24.931,237.832,3330,0.185,45.034,5.267,6.371,3.107,108.643,2011.472,23979.873,-2.162
0,210,1408477368,9.410,-2450.443,5.076,24.943,196.182,3180,0.185,38.167,6.128,7.366,2.820,96.824,1207.058,18607.568,-1.298
0,211,1408480548,9.447,-2499.688,5.095,24.981,211.655,3240,0.185,20.452,5.052,6.939,3.384,63.676,502.578,11219.715,-1.573
0,212,1408474443,9.589,-2461.715,5.087,25.000,182.044,3190,0.185,14.803,4.043,6.062,1.811,52.616,322.357,9271.858,-1.284
0,218,1408465153,11.309,-1990.809,5.099,24.964,214.289,2550,0.185,13.179,3.026,3.600,2.464,60.363,413.733,5237.093,-1.770
0,226,1408441153,10.823,2480.189,5.046,24.905,206.577,3230,0.185,23.059,3.022,2.973,1.520,98.435,1238.529,14818.820,-2.868
0,227,1408418398,10.869,2558.582,5.014,24.912,230.275,3340,0.185,15.135,2.847,2.524,1.290,89.814,715.631,8914.791,-2.180
0,229,1408427088,9.677,-2685.238,5.013,24.967,233.851,3480,0.185,17.872,2.734,3.185,1.155,92.208,1152.644,16891.635,-2.175
0,230,1408411448,12.171,2519.035,5.001,24.983,201.511,3300,0.185,15.695,2.562,1.920,1.399,89.773,772.723,8850.265,-2.035
0,231,1408456403,12.462,-2679.510,5.076,24.987,236.584,3450,0.185,17.311,2.426,2.004,1.289,91.132,1271.251,11404.134,-2.374
0,233,1408447803,12.119,2508.125,5.037,24.908,234.040,3270,0.185,21.626,2.696,2.778,2.026,96.312,1172.872,12514.111,-3.109
0,236,1408485898,10.224,-2585.931,5.072,24.948,239.469,3340,0.185,30.373,3.853,5.221,2.655,102.326,1726.643,17410.427,-3.619
1,3,1408409523,12.197,-2208.615,5.111,24.974,221.311,2850,0.185,23.787,2.663,2.566,1.988,106.519,1660.786,10475.442,-3.456
1,4,1408417448,11.361,-2124.403,5.077,24.949,187.758,2760,0.185,22.725,3.004,3.431,2.210,88.012,1052.550,9875.246,-3.221
1,5,1408452538,12.459,2072.210,5.045,24.870,198.657,2700,0.185,20.797,2.155,1.907,1.356,131.361,2624.201,11852.175,-3.151
