aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
0,3,1408323368,11.877,-2213.003,5.072,24.979,221.282,2860,0.185,20.905,3.418,4.547,2.824,92.656,1115.038,8555.569,-2.975
0,4,1408331293,10.874,-2127.002,5.043,24.979,187.777,2770,0.185,18.754,2.841,2.892,1.618,84.988,731.134,9136.329,-1.930
0,5,1408366388,9.306,2081.926,5.039,24.889,198.641,2710,0.185,18.284,2.159,1.719,1.107,117.069,1524.212,9713.928,-2.175
0,6,1408352688,10.572,2068.203,5.041,24.978,197.963,2700,0.185,25.422,3.638,3.767,1.621,96.548,994.684,10634.853,-2.249
0,9,1408334443,10.287,-2198.967,5.059,24.998,207.315,2850,0.185,24.116,2.916,4.236,2.207,95.277,1230.855,14026.190,-2.362
0,11,1408357523,11.373,2122.769,5.040,24.958,216.000,2770,0.185,15.402,2.130,1.541,1.025,99.547,1090.927,8624.152,-1.761
0,12,1408365627,12.576,-2220.094,5.051,24.987,213.312,2880,0.185,22.460,3.186,2.755,1.228,106.220,1642.623,9006.064,-2.370
0,15,1408374173,11.253,1044.150,5.006,9.558,181.000,650,0.185,43.126,2.294,0.000,0.000,93.094,1240.702,3333.455,-4.370
0,16,1408322228,12.264,2069.391,5.028,24.871,185.181,2700,0.185,14.210,2.327,2.006,1.273,84.950,696.566,5841.939,-2.121
0,17,1408344048,9.174,2102.889,5.038,24.893,219.000,2740,0.185,37.522,5.517,6.844,2.515,103.725,1430.180,14949.859,1.463
0,19,1408347303,9.336,2146.916,5.055,24.858,229.864,2790,0.185,26.219,3.577,5.145,2.047,103.441,1396.245,13761.119,-2.802
0,20,1408362673,12.550,2143.341,5.047,24.919,189.646,2790,0.185,16.761,2.297,2.204,1.409,96.199,928.077,7568.811,-2.509
0,21,1408398903,10.723,-2058.699,5.089,20.140,245.942,2410,0.185,41.115,3.662,4.104,2.213,110.031,2099.086,14660.754,-5.698
0,23,1408377273,10.721,2122.758,5.031,24.873,242.439,2770,0.185,33.020,4.136,5.804,2.997,105.771,2346.856,13696.695,-3.764
0,24,1408357243,11.716,-1170.549,5.119,9.431,248.429,690,0.185,31.657,1.573,1.159,1.159,100.439,1951.495,3837.472,4.533
0,25,1408368318,12.529,-2366.006,5.016,24.948,234.420,3060,0.185,19.694,2.701,2.644,1.428,91.623,1329.034,10980.897,-2.484
0,28,1408395058,10.404,2111.298,5.010,24.942,197.209,2760,0.185,24.950,3.199,3.804,1.716,108.954,1347.433,12373.330,-3.033
0,29,1408376723,11.106,-2140.819,5.120,24.979,196.291,2770,0.185,30.967,2.907,2.698,1.215,116.159,1552.856,14474.256,-3.784
0,30,1408345763,9.378,-2180.130,5.063,24.949,191.507,2830,0.185,20.321,6.446,7.241,2.939,95.778,1071.399,13770.035,-1.427
0,31,1408399093,11.088,2079.792,5.051,24.911,210.890,2710,0.185,24.127,2.813,2.681,1.468,112.819,1380.702,10928.486,-3.060
0,32,1408387723,9.533,2140.772,5.042,24.893,225.436,2790,0.185,42.091,4.725,5.309,1.597,130.747,2697.162,19321.619,-1.654
0,101,1408325898,10.807,-1797.750,5.102,24.946,187.000,2340,0.185,7.063,2.922,2.560,1.226,63.003,231.974,2460.997,-0.726
0,102,1408330638,11.214,-1803.261,5.127,25.000,206.651,2340,0.185,9.334,2.239,1.861,1.200,116.586,705.359,4063.303,0.097
0,103,1408335238,9.773,-1841.396,5.120,24.924,230.402,2380,0.185,18.148,2.678,2.475,1.690,120.635,878.432,7644.686,-1.379
0,104,1408340578,11.800,-818.591,5.023,8.074,249.000,380,0.185,6.348,3.057,0.000,0.000,101.917,627.492,1097.513,-0.890
0,106,1408375583,11.256,1790.563,5.003,24.905,200.373,2350,0.185,2.742,2.560,2.093,1.023,38.630,42.589,1049.430,-0.181
0,107,1408380643,9.876,1809.444,5.033,24.868,220.508,2370,0.185,16.948,3.676,3.557,1.947,119.117,862.219,5763.602,-0.602
0,108,1408385813,9.405,1836.437,5.019,24.904,241.926,2410,0.185,15.537,5.520,8.387,3.358,73.325,370.088,4837.362,-0.323
0,109,1408363643,12.353,-1878.315,5.095,24.936,231.951,2430,0.185,15.850,2.732,2.342,1.400,120.374,983.896,6404.901,-2.547
0,110,1408368198,9.055,-1159.878,5.066,13.400,248.267,1040,0.185,4.020,1.453,1.211,1.038,38.727,98.501,1148.423,-0.928
0,112,1408322683,9.066,1810.978,5.050,24.853,218.416,2370,0.185,10.945,3.152,2.844,1.510,120.420,742.406,5372.676,-2.181
0,112,1408403488,11.354,1787.086,5.009,24.870,195.153,2340,0.185,8.695,2.267,1.904,1.060,112.713,412.642,3721.423,-0.283
0,113,1408327528,11.155,1846.111,5.035,24.977,239.230,2420,0.185,4.337,2.434,2.604,1.434,63.290,121.855,1671.534,-0.820
0,115,1408353958,10.102,-1803.965,5.145,24.980,182.055,2340,0.185,5.534,2.272,1.703,1.018,78.855,260.514,2502.840,-0.515
0,116,1408358908,11.560,-1804.675,5.127,24.933,205.889,2340,0.185,10.183,2.655,2.151,1.285,137.818,666.221,3594.273,-0.338
0,117,1408346323,9.352,1781.083,5.054,24.881,195.970,2330,0.185,14.310,2.883,2.277,1.167,111.786,1076.816,5608.501,1.540
0,118,1408351243,10.347,1794.803,5.049,24.874,216.767,2350,0.185,12.859,2.975,2.242,1.322,114.902,775.935,5088.862,-0.353
0,119,1408355805,11.230,1820.047,5.079,24.928,234.360,2370,0.185,5.555,3.484,3.946,2.520,38.128,65.579,1603.328,-0.525
0,121,1408382873,9.920,-1777.031,5.126,24.971,181.241,2310,0.185,8.243,3.119,2.709,1.143,79.232,339.506,3168.490,-0.864
0,122,1408387928,9.674,-1809.712,5.152,24.920,203.906,2340,0.185,13.502,2.984,2.369,1.161,117.437,765.788,4694.179,0.172
0,123,1408392308,9.479,-1813.870,5.078,24.967,226.228,2360,0.185,14.773,3.585,2.989,1.779,101.030,562.943,5595.937,-1.181
0,203,1408388768,9.586,2550.683,5.043,24.904,226.871,3320,0.185,28.500,4.297,5.242,1.682,87.437,1103.725,16015.044,-2.844
0,204,1408338738,9.343,-2614.031,5.067,24.961,222.130,3380,0.185,24.690,4.526,8.709,5.568,78.981,895.159,15865.082,-1.405
0,205,1408381898,9.965,2516.555,5.041,24.952,198.353,3280,0.185,21.887,3.522,3.320,1.057,89.743,1004.730,15626.741,-0.780
0,206,1408341458,9.175,-2715.636,5.059,24.991,236.715,3500,0.185,29.896,5.391,7.317,3.139,85.095,1248.560,20229.688,-2.389
0,209,1408344833,9.766,-1744.943,5.099,14.657,248.077,1670,0.185,7.264,6.511,8.560,7.033,89.667,1555.500,11555.386,-0.375
0,210,1408355483,11.251,2464.280,5.046,24.930,208.885,3210,0.185,16.445,3.140,3.825,2.920,80.694,646.528,8466.656,-3.029
0,211,1408359238,12.248,2496.196,5.018,24.888,224.260,3260,0.185,11.536,2.328,1.932,1.035,56.819,427.720,7372.798,-1.572
0,212,1408352298,10.484,2451.968,5.036,24.961,194.953,3200,0.185,15.040,3.676,4.287,1.984,58.019,310.654,8004.626,-2.337
0,215,1408397523,10.425,-2534.868,5.098,24.978,227.704,3270,0.185,25.497,4.335,5.550,2.537,85.604,891.666,13382.128,-2.664
0,218,1408371958,11.591,-2199.766,15.257,20.464,181.825,620,0.185,3.975,1.429,1.073,1.073,57.580,72.086,465.201,-0.401
0,219,1408332168,10.090,-2513.097,5.043,24.947,189.162,3260,0.185,8.110,2.300,2.224,1.001,49.831,198.006,5934.137,-1.703
0,221,1408322733,11.837,2509.558,5.042,24.957,190.549,3270,0.185,13.605,2.645,2.351,1.074,78.859,498.551,8400.017,-1.590
0,224,1408362223,12.346,-2538.721,5.081,24.979,195.391,3290,0.185,14.759,2.057,1.960,1.313,85.586,710.413,9802.154,-2.492
0,225,1408368018,12.437,-2619.236,5.058,24.950,224.714,3380,0.185,14.950,2.391,2.280,1.295,81.502,804.037,9278.199,-2.523
0,231,1408336628,9.175,2597.711,5.046,24.945,247.265,3380,0.185,32.570,5.263,7.745,3.455,78.712,1311.835,20343.344,-1.276
0,234,1408391813,9.496,-2457.506,5.081,24.950,199.188,3190,0.185,33.206,5.177,5.705,1.971,94.753,1165.312,17075.403,-0.807
1,3,1408323366,11.977,-2215.111,5.072,24.979,221.322,2860,0.185,27.339,3.610,5.698,2.777,95.123,1303.793,10750.863,-4.431
1,4,1408331293,10.874,-2127.002,5.043,24.979,187.759,2770,0.185,21.209,2.735,2.785,1.394,81.590,1051.983,10767.266,-2.136
1,5,1408366383,9.328,2076.021,5.039,24.889,198.651,2710,0.185,19.511,2.066,1.744,1.040,119.149,1833.068,10187.503,-2.431
1,6,1408352688,10.583,2068.203,5.041,24.978,197.959,2700,0.185,29.059,3.544,3.082,2.060,97.803,1269.839,11806.980,-2.606
1,9,1408334443,10.222,-2198.967,5.059,24.998,207.353,2850,0.185,27.627,3.212,5.058,3.156,101.903,1448.916,14799.060,-3.393
1,11,1408357523,11.426,2122.769,5.040,24.958,216.000,2770,0.185,17.079,2.182,1.560,1.102,112.976,1401.862,9544.303,-1.940
1,12,1408365628,12.574,-2220.018,5.051,24.987,213.294,2880,0.185,26.522,3.297,3.266,1.034,126.188,1907.556,11392.367,-3.291
1,15,1408374223,11.205,1093.452,5.006,10.267,181.000,750,0.185,50.969,2.666,6.387,5.300,97.235,1709.113,4566.271,-1.180
1,16,1408322228,12.227,2069.391,5.028,24.871,185.203,2700,0.185,16.201,2.208,1.827,1.193,80.450,943.685,7301.165,-2.632
