prn,elv,azi,gps_time,snr,ant
3,23,224,1408322138,40,0
3,23,224,1408322148,41,0
3,23,224,1408322158,40,0
3,23,224,1408322168,38,0
3,23,224,1408322178,37,0
3,23,224,1408322188,35,0
3,23,224,1408322198,32,0
3,23,224,1408322208,34,0
3,23,224,1408322218,37,0
3,23,224,1408322228,37,0
3,23,224,1408322238,38,0
3,23,224,1408322248,40,0
3,23,224,1408322258,42,0
3,23,224,1408322268,43,0
3,23,224,1408322278,43,0
3,23,224,1408322288,43,0
3,23,224,1408322298,42,0
3,23,224,1408322308,40,0
3,23,224,1408322318,38,0
3,22,224,1408322328,38,0
3,22,224,1408322338,37,0
3,22,224,1408322348,36,0
3,22,224,1408322358,35,0
3,22,224,1408322368,36,0
3,22,224,1408322378,36,0
3,22,224,1408322388,36,0
3,22,224,1408322398,39,0
3,22,224,1408322408,41,0
3,22,224,1408322418,40,0
3,21,223,1408322428,40,0
3,21,223,1408322438,39,0
3,21,223,1408322448,40,0
3,21,223,1408322458,40,0
3,21,223,1408322468,38,0
3,21,223,1408322478,36,0
3,21,223,1408322488,36,0
3,21,223,1408322498,37,0
3,21,223,1408322508,38,0
3,21,223,1408322518,39,0
3,21,223,1408322528,40,0
3,21,223,1408322538,41,0
3,21,223,1408322548,41,0
3,21,223,1408322558,42,0
3,21,223,1408322568,42,0
3,21,223,1408322578,41,0
3,21,223,1408322588,37,0
3,21,223,1408322598,34,0
3,21,223,1408322608,32,0
3,21,223,1408322618,31,0
3,21,223,1408322628,33,0
3,20,223,1408322638,38,0
3,20,223,1408322648,40,0
3,20,223,1408322658,40,0
3,20,223,1408322668,42,0
3,20,223,1408322678,42,0
3,20,223,1408322688,43,0
3,20,223,1408322698,43,0
3,20,223,1408322708,42,0
3,20,223,1408322718,41,0
3,20,223,1408322728,41,0
3,19,222,1408322738,40,0
3,19,222,1408322748,36,0
3,19,222,1408322758,35,0
3,19,222,1408322768,36,0
3,19,222,1408322778,37,0
3,19,222,1408322788,37,0
3,19,222,1408322798,37,0
3,19,222,1408322808,37,0
3,19,222,1408322818,38,0
3,19,222,1408322828,39,0
3,18,222,1408322838,40,0
3,18,222,1408322848,41,0
3,18,222,1408322858,41,0
3,18,222,1408322868,41,0
3,18,222,1408322878,39,0
3,18,222,1408322888,39,0
3,18,222,1408322898,40,0
3,18,222,1408322908,40,0
3,18,222,1408322918,38,0
3,18,222,1408322928,36,0
3,18,222,1408322938,36,0
3,18,222,1408322948,36,0
3,18,222,1408322958,37,0
3,18,222,1408322968,38,0
3,18,222,1408322978,41,0
3,18,222,1408322988,41,0
3,18,222,1408322998,42,0
3,18,222,1408323008,42,0
3,18,222,1408323018,42,0
3,18,222,1408323028,38,0
3,17,222,1408323038,33,0
3,17,222,1408323048,29,0
3,17,222,1408323058,37,0
3,17,222,1408323068,41,0
3,17,222,1408323078,43,0
3,17,222,1408323088,43,0
3,17,222,1408323098,42,0
3,17,222,1408323108,42,0
3,17,222,1408323118,42,0
3,17,222,1408323128,39,0
3,16,221,1408323138,40,0
3,16,221,1408323148,38,0
3,16,221,1408323158,36,0
3,16,221,1408323168,37,0
3,16,221,1408323178,37,0
3,16,221,1408323188,37,0
3,16,221,1408323198,37,0
3,16,221,1408323208,37,0
3,16,221,1408323218,37,0
3,16,221,1408323228,37,0
3,16,221,1408323238,37,0
3,16,221,1408323248,36,0
3,16,221,1408323258,39,0
